sessionID,h_score
hjK6cx7q5cBm92GFM,100.0
gfgsCHnQRrGwg7wqg,80.0
pimw4HzvRF7Ma6a3d,100.0
Hca4gdSdtqrii9h4P,100.0
DMQqF8vAgKQEYxiTt,100.0
fgeykwuccSsfctjF5,100.0
PaGL79zoMGc2WMsN3,80.0
PtiSxc5QLC6ua3xgi,100.0
aWHup9rCN2kCZ7fsY,100.0
M7s3efDnvmmARwYux,100.0
TJ25CFidsXHTT7bCE,100.0
w7gvW3fvEFHx2d8KS,80.0
3BZNczKJvjkuaMpCY,100.0
WDqo2kpAhpYdXrLde,100.0
vwqL33KrBqoTEHfsk,80.0
wgPtHgT2Qho3c3bGi,100.0
a9pjJT9xjEzobNjDu,100.0
4e6NnTC6ARhNrCEEs,100.0
n2BPa4RBr9debCw4z,100.0
xTbQQfkvZaWc5Erdt,100.0
MYzbsv66JQpSBBfwt,100.0
tECPzd4gPRuas39YS,100.0
oy33q4hN2uBqst6JA,80.0
HqsPQTkDTJbTQyaop,100.0
YaiGfLgMy274R4x47,100.0
Nc3emk8nKSSxjzyFd,100.0
46mnf2H82piCkRhgW,80.0
vFeAXsida8SzSp5WS,100.0
SY5auStpR4cmdvvyN,100.0
nPCY7359tRSBzfWP8,100.0
Fy9JAN5gLKbmG6KgZ,100.0
xm8dbQ5xikQdkh4Qi,80.0
iHzZpFqKcvdk6MjXH,80.0
bnARfquj7x63FuaxW,100.0
Mz9rPSxiLJDjtyx7N,100.0
JkESzvaabArFLSQRs,80.0
KZp2WQLu9hDSrgiD6,100.0
WfLTXvyvBLLAyZNve,100.0
qmuTFBzTrXtZWmMjd,100.0
WGrA4JCevPo7zKwBd,100.0
PLyhS8Lm5rCGiz6c7,100.0
9Pp78NYP8etRSw229,80.0
XoQ5tExPvRkywMh5C,100.0
ApRaMB9fCSwo9Tafy,100.0
7Kxx6qZkux8th9wGu,100.0
pCK9a3oiBhCEijGhc,100.0
h6HCn2uFwMhKyraNY,100.0
JsTisKF6Cmsh76AMm,100.0
Fgy8bshHjyNjtH2qS,100.0
6rtjDr4ncuy4xfZhH,100.0
aadqhE9Bg6eCgqbYq,100.0
i5ww7sLrXzCJptLes,100.0
NfpTdMEJYhCKG2auJ,80.0
MXPeLWhDoSkoXc3Cd,100.0
e8kuZzg2yttvJeS9B,100.0
6BRarnBXDnxwRRCBW,80.0
2BrX4mjZ7rB6YErvQ,80.0
zKdQhGNudgoozaeQG,100.0
ef9Nuzzr3xkFgtpb5,100.0
Hhen4F3Ws6oFLfYaA,80.0
v2Rx48GhvLhfPppzL,100.0
4W9S8nCCk4Pdzxx7W,80.0
z4RRETSaHDZjpFfcA,100.0
vfWpdqgaBNwwMqagY,100.0
PBX55RD4Hyr6pxTjT,100.0
zBuHCRxqHNkoqPduE,100.0
7B3z6ahiqwcLjTufg,100.0
xSA66hr3AqsKwkB46,100.0
tsKzmKzWPPpFunRb5,80.0
3jH5FTNbwGNQ2Em6L,80.0
fYr5M3eNxsq2w53bK,80.0
hX3ySazwfB7dPDBYb,100.0
ZMGcZmKeMMfGhAZYX,100.0
SZhSHon8eBvMWqqoH,80.0
zLkg95kjQ8KZD3Etj,100.0
ofFQCyb9tdbX8Nez9,100.0
JnCichuGFzznX7Cva,100.0
KC7mZgMwhDrcDtjfz,100.0
DcPSk6v7DYBCuGnkB,100.0
de4jCXtDPL4BeTpDc,100.0
vJ6qdMXz645rb9aGN,100.0
ubi5RGqSrmcyGetRW,100.0
MJbEimhaJf3qDTZMg,100.0
sJaJpGczmtPxKQAnv,100.0
hif2Ninqg78pmSmXS,100.0
tZs56pScpghtjQwCq,100.0
89ozymdpWkDXddtsL,100.0
prbpYDZmHAM4WkMgY,100.0
FPj8rdTqrZbm7H6pR,80.0
p64maJqT4W8odpzKS,100.0
RvXxYCgMRTgfJiZpu,80.0
Pkqk9Y369zi5ntrw4,100.0
KHztWYNYQdSzRbyjy,100.0
QAdwS6ZsH67tZZPiN,100.0
YmBnzT9oYKSxcejm8,100.0
gL4fFjsFaMyxnC3dw,100.0
bygRA2cahRMCgE5n6,100.0
A9GfS9Rtjqmwh2Mjw,100.0
fzwFQpCwykDstHFXm,80.0
WTnYR723iyGszTDCw,100.0
k2ckwSsA8uZEwbHQL,80.0
28WpqbbseFtkmcqqv,100.0
Z6aoNgc6ZgoZr6vi2,80.0
Eh9SgKoZDi2PMpDbK,100.0
jveXci3ZAgsnpcEAu,100.0
2xgMrAAQRaLcKaEFC,100.0
avWWg8LbfedkqAXcy,100.0
Bo866ocHcuNThHRYH,100.0
FnLa2dwvsYpfTzHoT,80.0
eWcRcpCrw2xHtWhNu,80.0
fksQnd98DgrQgaofL,100.0
mjop5Azk4q9hZRAs3,100.0
2rZRJbYxJfmsbiMqs,100.0
hXTt9JhdPFthxaMdp,100.0
wHCHff246FKfeEhuW,80.0
CswXegdM86kmqG2ab,100.0
FJJxTxkLQuXD4tqnt,100.0
PAdHWzWZ5qSeJEAcw,80.0
N8uYFLSuMiuRPWm79,100.0
m88JahbNSbZnb6cMY,100.0
SLaa4KRawr7Nf3WHf,100.0
e3WcCmmdmQCr9fjud,100.0
bzwr6Hz7b8pAK78gw,80.0
2JriT8sZfomgf9sxp,80.0
b4BH65uBwRuyCgkmF,100.0
pnv2ERu7qJ33JDPon,80.0
cyYKSGgP75pX3q5eo,100.0
38Qmdh65FHDXJjqBk,80.0
wHfhq3EshZDYy87bE,100.0
TrSgxdHaHrG4bk3cy,80.0
Av6gvwD3A84f89rtL,100.0
PnvrxATTeoapxGkNH,100.0
CJTfDQjGKiLiCNKPc,80.0
Hx3nvHdKC4ZSa7dwF,100.0
iuBwFx75zhkyfH4QQ,80.0
pRYorHv8FucQvBTET,100.0
q7Mu9qcWFgWrEdzRf,100.0
pYX2jdhYmHmyeAhh6,80.0
pQ56NS5aZsD4qMSdB,100.0
yePNLDHxBH2ryuRav,80.0
9A4eovQPtioWDfzH6,100.0
ZN3AemQkJdXZ46WHn,100.0
ce93gjYEx8ia7oC2f,80.0
6XkWmpoSNW3z5GoXi,100.0
aRku8aXSQLu2z48iL,100.0
ojeXdM5jLbCrrgLxp,80.0
6tYyGMDCthDeTy98L,80.0
zZD7uBwPQRjXWCfaZ,100.0
3e3jiwGx8tYvdqPD9,100.0
NJCHrNxkmDRCHRJM9,80.0
BWExhEpcy9Sh8qBPP,100.0
GkmnYeKwjtafYJAs2,100.0
3M8hJx5h6ppsx2CnG,80.0
9QkH7YYeHPZcybTpX,100.0
6AJBsYjCCcCv5HQEd,100.0
Yg7LWooLS4nBSLhpw,100.0
6FMjizrbkir7uTcw4,100.0
fEv5CQZzdtNKMBae9,100.0
gFqCaGpqGQR77BYoF,100.0
h6z8xKD4zeD5M86mB,100.0
qg77sCkgZ6cpHhAaL,100.0
YhXTbftB4SHoQDCfX,100.0
u78fBrADY6H4r2sdA,80.0
ZDBYWTowgTRhhrdjn,100.0
uddeefSiM8Myir4mt,100.0
xK9EdnSaTt97QnZWa,100.0
3wwmxmpLiBv4yPSQp,80.0
zdRwqwioNCxipAZ5D,100.0
D3HgdvFq35Z3kHkW8,100.0
MmdYMPzfWHrQcHZj9,100.0
wnjyyaracGE6phEFG,80.0
AnCce6JhdnDpDTJ6f,100.0
DFHTntNfyEmnADExg,100.0
ddBGXM6G5vjkW67Cc,100.0
kQ3icgR2AY9jjTBge,100.0
kFPWLdTPJv7jcYtv7,100.0
92s6EE6mpDMC4d3ih,80.0
jpRz27jAXgxcjhrvT,100.0
tG7SWyDJuGcuBmiF5,80.0
Q8ComTucBdjmddXtp,80.0
8qrnxHn3r7bi2sBi9,100.0
8qtoofcaZfuqZT2Qd,100.0
vS2x6we6QXXW3FKAE,100.0
SQKaGp56aLHR64qx3,100.0
hsFKJHT2h6CaiDK4o,80.0
Ny4a26veiJMcNaLbe,80.0
cbBBhujNJTJZpobHz,100.0
hXZfv9FWfru2Y7yMr,100.0
z5Az53yLmGdFixDT5,100.0
iPPd2Cr4X3BKGus6F,100.0
v9ReLH3o9zEheDYk3,100.0
dZJoSB4RrMMZavSz9,80.0
59fB7eQDBQLn2ZAJo,100.0
GwE6pqJC4MBnoEM7r,80.0
BB2rYPX6wxHQqyymX,100.0
CXt9wQZzBz8vF2QLD,100.0
BGnWEKtDrCQBWitGe,100.0
F9PxmgJybtCYs6eKj,100.0
krybscu9kNAHrdyyH,100.0
Z2HisMjR72treqHMz,100.0
giD6ZdfQouX8rTcdB,100.0
uMKrzBJGfwdqAhSKh,100.0
W9bRGmXQMBvzdBrbK,100.0
Tm4jmQuP3rquMeNPX,100.0
8AaT6XK8iWhKQt2Pj,80.0
bwkmwnmKKbmXyvpCN,100.0
pseJvBiRtxLJRftnp,100.0
MS6AfotZrrcLfrSS5,80.0
MGMF4Lt6EnRmDdzjn,80.0
iM7sSoTqhCo4eMxkX,80.0
SnjKJRhfBeJcZ5YWH,100.0
ooMJkKzwH6h3BDia8,80.0
uyne5jYoPmymgFHpm,80.0
zgrSC3WAebrA9BaKc,80.0
Tr4a769yGRsBztC3j,80.0
QejAzi2X39H4FsTct,80.0
6DjjFqLGZXdE4R4xK,80.0
o3Nw8sqBzBG7BQuxK,100.0
GRPp7dn4cc3goCS5R,100.0
xPiwWf2QNJdBDRwrx,100.0
a6RKhBBnjrGMdTHPZ,100.0
9toFs6WBY2Ay42cRy,100.0
rY44jof7mt3yTSjBy,80.0
jgjffDiKrrSkrXDYE,80.0
PTtjXb7L4tnnAac2H,80.0
ugJuuuqJLhmAetASA,80.0
EoMZB6ybSAdLWchCS,100.0
v9ACxj7YiWsbBXnGn,100.0
uxxLpLnzFH6p6eT33,100.0
afukZJbDaDE9ME3gy,100.0
BXKgqMMgobSyb7cus,80.0
FdFpaK6jecjaJJKhY,100.0
EstrB57JAAWQYzDfg,80.0
PC9QWTnKonvbKSyTz,100.0
SYd4fRiuqSpjr6TLd,100.0
mzCXFgiYyHKyoPHdz,100.0
M8izZ4s8SNzzQpfaj,100.0
mScCAe2QfAfDDLRdh,100.0
92mBjZJXX9chty2ir,100.0
nrFFGAbeSNBS79C6r,100.0
XbxjLpof85yvqt9S6,80.0
NTFEDCaxQCfwkKJJ2,80.0
b8XHDghthyJSXcYwy,80.0
fejHW2br2bsfjWz2P,80.0
JdREDeR7hzCmRMFfw,80.0
6nSXLnNWMujWLhqts,100.0
64Y3o8obv6FJqkFF2,100.0
NNtPQE3DRFyf8n8nE,100.0
qxHuTn57n8HcJBgui,100.0
qCYwJfK39Wra72tkb,100.0
Ag92AX9cWu5KDQAW6,100.0
r6rnbgboE68EdEgA5,100.0
sj9TEfytaWkQcbbLd,100.0
YojiXeGeJGokCfq6N,100.0
cRb7pGvxCdifFRZ35,100.0
GkuWQADrKmwSiQkN7,100.0
EHhEKGK6YgPwgi4k3,100.0
R5Not3BNMdSwM2tdH,80.0
cpczafJfMdQZsEEki,100.0
HewRcH3MPNg3XduaM,100.0
HAuCLu8jKiomyTCdy,100.0
G9K5cZ2EnyyN8WXJL,100.0
Z6hsdMRNqYiPtBTe3,100.0
ji4aXQe9c26X2FjBd,80.0
TKQPRHpK5QfHSafHY,100.0
sQ526LiDrnmSJZD28,100.0
uyavbL5L8zTjPNSBT,80.0
ZnTr7r3RMiCnKBPZh,100.0
wCS35scayCNjZuJrc,80.0
9aKgHL6wpQrtqH42g,100.0
94oHThpQ5T9KALucf,100.0
NaP9pvDSmntk2Bv3L,80.0
jaTjYzECEtQap9qh3,100.0
m22j37uKzB7DYAu43,100.0
6D7oxXhEoMTNnGbgz,100.0
KFDsb64iXzKq2QJbm,100.0
2ujmaPohQkKShz7Y9,100.0
jDLF9kDm84wahv28X,100.0
3Byyu57KNzBQGTQwF,100.0
kAJuXacQav6GXkKfJ,100.0
dQeRTFCQdcGzS6tA8,100.0
d7ph3xyb9rZb3cqRF,100.0
WSd8qQguJMmPQL82j,100.0
vK4YiEsGoP7y9EozC,100.0
u3a4spTRrKtBDFWwD,100.0
PL3ZYwKfNixGnADYP,100.0
nMgZC8rhiYJy66Wwo,100.0
rETymiPSoNPc7L2Fk,100.0
DRk36z9oYJ86DL3GA,100.0
FRnqFNsMA9z9EMHvi,100.0
JYDABgvKXd2e2gwcv,100.0
r26jD9Md5oEgERPo8,100.0
4HZrGPmTzcwBMp9GD,100.0
ncLAp6szTNaaGuoY3,100.0
pnQW62dcmEF4prXBT,100.0
kkREjX94JaYaa5bMR,80.0
gayezy5u4GN5v9YML,80.0
SRKxAZ7QhAhaKKmHT,100.0
ZtRAwfnRNCYoovfgf,100.0
svBXHTkmdHGtiPw8k,80.0
pZEhYjqibBnFFHwxe,100.0
obmudt3avTTHAPZXt,100.0
6PHpQpWQ7x9XAurkp,80.0
